;; -*- coding: utf-8-mcs-er -*-
U-0002F9AC	蕤	⿺⿱⺾&MJ024906;生
U-0002F9AD	𦼬	⿱⿱卝沮皿
U-0002F9AE	䕝	⿱⺾&AJ1-05917;
U-0002F9AF	䕡	⿱⺾⿵門吕
U-0002F9B0	𦾱	⿱⺾摷
U-0002F9B1	𧃒	⿱⺾縷
U-0002F9B2	䕫	⿱⺾⿱⿲止自㔾⿱八夂
U-0002F9B3	虐	⿸&AJ1-06479;&CDP-8DC1;
U-0002F9B4	虜	⿸&AJ1-06479;男
U-0002F9B5	虧	⿰&C3-4A47;亐
U-0002F9B6	虩	⿰𡭽&AJ1-01931;
U-0002F9B7	蚩	⿱㞢虫
U-0002F9B8	蚈	⿰虫幵
U-0002F9B9	蜎	⿰虫䏍
U-0002F9BA	&C4-467C;	⿰虫幷
U-0002F9BB	蝹	⿰虫昷
U-0002F9BC	蜨	⿰虫⿳⺊&AJ1-14521;龰
U-0002F9BD	蝫	⿰虫者
U-0002F9BE	螆	⿰虫兹
U-0002F9BF	䗗	⿰虫筓
U-0002F9C0	蟡	⿰虫&AJ1-05603;
U-0002F9C1	蠁	⿱&MJ026367;虫
U-0002F9C2	&C4-643F;	⿰虫慈
U-0002F9C3	衠	⿲彳&MJ018170;亍
U-0002F9C4	衣	&AJ1-01189;
U-0002F9C5	&C5-303E;	⿰衤开
U-0002F9C6	裗	⿰衤⿳&AJ1-04110;厶𫶧
U-0002F9C7	裞	⿰衤兑
U-0002F9C8	䘵	⿰衤&C3-2871;
U-0002F9C9	&U-0002F9C9;	⿰衤𡘹
U-0002F9CA	㒻	⿱日見
U-0002F9CB	𧢮	&C4-6E3B;
U-0002F9CC	&C6-3C2D;	⿰言亏
U-0002F9CD	䚾	䚾
U-0002F9CE	䛇	⿰言⿱几口
U-0002F9CF	誠	⿰言⿵戊丅
U-0002F9D0	諭	⿰言&AJ1-04216;
U-0002F9D1	變	⿱&AJ1-18690;夂
U-0002F9D2	豕	&MJ024906;
U-0002F9D3	𧲨	⿰豸幵
U-0002F9D4	貫	⿱母貝
U-0002F9D5	賁	⿱𠦄貝
U-0002F9D6	贛	⿸⿰章⿱夂𡕒貝
U-0002F9D7	起	⿺走己
U-0002F9D8	𧼯	⿺走&AJ1-04216;
U-0002F9D9	𠠄	𠠄
U-0002F9DA	跋	跋
U-0002F9DB	趼	⿰𧾷幵
U-0002F9DC	跰	⿰𧾷幷
U-0002F9DD	𠣞	𠣞
U-0002F9DE	軔	軔
U-0002F9DF	輸	⿰車&AJ1-04216;
U-0002F9E0	𨗒	⿺⻍⿱雨𡈼
U-0002F9E1	𨗭	⿺⻍⿳𦥔八土
U-0002F9E2	邔	⿰已⻖
U-0002F9E3	郱	⿰幷⻖
U-0002F9E4	鄑	⿰晋⻖
U-0002F9E5	𨜮	&C6-4F63;
U-0002F9E6	鄛	⿰巢⻖
U-0002F9E7	鈸	&JX1-7D26;
U-0002F9E8	鋗	⿰金䏍
U-0002F9E9	鋘	⿰金吳
U-0002F9EA	鉼	⿰金幷
U-0002F9EB	鏹	⿰金强
U-0002F9EC	鐕	⿰金⿱&MJ007239;日
U-0002F9ED	𨯺	𨯺
U-0002F9EE	開	⿵門幵
U-0002F9EF	䦕	⿵門幷
U-0002F9F0	閷	⿰杀閃
U-0002F9F1	𨵷	⿵門𥁕
U-0002F9F2	䧦	⿰⻖為
U-0002F9F3	雃	⿰幵隹
U-0002F9F4	嶲	⿱屮雋
U-0002F9F5	霣	⿱雨貟
U-0002F9F6	𩅅	⿱雨&AJ1-17950;
U-0002F9F7	𩈚	⿰面幷
U-0002F9F8	䩮	⿰革&C3-2871;
U-0002F9F9	䩶	⿰革蚩
U-0002F9FA	韠	&JSP-6769;
U-0002F9FB	𩐊	⿰市⿱次韭
U-0002F9FC	䪲	⿰&AJ1-04209;頁
U-0002F9FD	𩒖	⿰开頁
U-0002F9FE	頋	⿰⿸厂㔾頁
U-0002F9FF	頋	⿰⿸厂巳頁
U-0002FA00	頩	⿰幷頁
U-0002FA01	&C6-643A;	⿺風术
U-0002FA02	&C6-3C77;	⿰飠儿
U-0002FA03	䬳	&C4-4179;
U-0002FA04	餩	&UU+9929;
U-0002FA05	馧	⿰香昷
