;; -*- coding: utf-8-mcs-er -*-
HZK10-AAB1	&HZK10-AAB1;	⿰⻊&B-A6E6;
HZK10-AACF	&HZK10-AACF;	⿰⻊企
HZK10-AAD2	&HZK10-AAD2;	⿰⻊旬
HZK10-AAD3	&HZK10-AAD3;	⿰⻊&CDP-8D5F;
HZK10-AAF0	&HZK10-AAF0;	⿰⻊广干
HZK10-CBCB	&HZK10-CBCB;	⿺⻍&GT-16622;
HZK10-CBCC	&HZK10-CBCC;	⿺⻍𠫓木
HZK10-CBCD	&HZK10-CBCD;	⿺⻍&B-A87C;
HZK10-CBCE	&HZK10-CBCE;	⿺⻍火&CDP-887D;
HZK10-CBD0	&HZK10-CBD0;	&CDP-8A74;&CDP-897C;一火
HZK10-CBEC	&HZK10-CBEC;	⿺⻌&GT-11133;
HZK10-CBED	&HZK10-CBED;	⿺⻍⿱&GT-00033;&GT-00033;
HZK10-CBEE	&HZK10-CBEE;	⿺⻌&CDP-8DF9;&M-03115;
HZK10-CBEF	&HZK10-CBEF;	⿺⻍巛𠔼刂
HZK10-CBF0	&HZK10-CBF0;	⿺⻍&GT-17504;
HZK10-CBF1	&HZK10-CBF1;	⿺⻍&B-AD75;
HZK10-CBF2	&HZK10-CBF2;	⿺⻍壴
HZK10-CC6B	&HZK10-CC6B;	⿺⻍⺿&GT-18344;
HZK10-CC6D	&I-HZK10-CC6D;	⿺⻍⺿冋
HZK10-CC6E	&HZK10-CC6E;	⿺⻍&CDP-8CAD;
HZK10-CC6F	&HZK10-CC6F;	⿺⻍木&GT-00458;&CDP-8BF1;
HZK10-CC70	&HZK10-CC70;	⿺⻍木用
HZK10-CC71	&HZK10-CC71;	⿺⻍枷
HZK10-CCAD	&HZK10-CCAD;	⿺⻍&B-A6E8;廾
HZK10-CCAF	&HZK10-CCAF;	⿺⻍&B-ADB6;
HZK10-CCB0	&HZK10-CCB0;	⿺⻍大𠮷
HZK10-CCB1	&HZK10-CCB1;	⿺⻍大&B-A6E8;
