;; -*- coding: utf-8-mcs-er -*-
HZK03-A8DE	&HZK03-A8DE;	行&B-A8AF;
HZK03-A8DF	&HZK03-A8DF;	行&GT-26647;十
HZK03-A8E0	&HZK03-A8E0;	行&GT-08898;
HZK03-A8E1	&HZK03-A8E1;	⿰彳&M-07709;
HZK03-A8E2	&HZK03-A8E2;	⿰彳&M-07716;
HZK03-A8E3	&HZK03-A8E3;	行甬
HZK03-A8E4	&HZK03-A8E4;	⿰彳&GT-44405;
HZK03-A8E5	&HZK03-A8E5;	⿰彳&B-B364;
HZK03-A8E6	&HZK03-A8E6;	行&CDP-8C6A;
HZK03-A8E7	&HZK03-A8E7;	彳十&GT-36329;心
HZK03-A8F4	&HZK03-A8F4;	彳&CDP-8DD5;心
HZK03-A8F5	&HZK03-A8F5;	⿰彳&M-02691;
HZK03-A8F6	&HZK03-A8F6;	⿰彳&GT-31700;
HZK03-A8F7	&HZK03-A8F7;	行戔
HZK03-A8F8	&HZK03-A8F8;	彳丨夂良
HZK03-A8F9	&HZK03-A8F9;	⿰彳畢
HZK03-A8FA	&HZK03-A8FA;	彳山王攵
HZK03-A8FB	&HZK03-A8FB;	彳山𠮛攵
HZK03-A8FC	&I-HZK03-A8FC;	彳山帀攵
HZK03-A8FD	&HZK03-A8FD;	⿰彳崔
HZK03-A8FE	&HZK03-A8FE;	彳午止卪
HZK03-A940	&HZK03-A940;	彳&CDP-8CAC;一几攵
HZK03-A941	&HZK03-A941;	彳白冖&GT-17214;
HZK03-A942	&HZK03-A942;	⿰彳從
HZK03-A944	&HZK03-A944;	⿰彳悉
HZK03-A955	&HZK03-A955;	行&GT-01892;心
HZK03-A956	&HZK03-A956;	行&CDP-8B5B;匚夫
HZK03-A957	&HZK03-A957;	⿰彳猛
HZK03-A958	&HZK03-A958;	⿰彳&M-38901;
HZK03-A959	&HZK03-A959;	彳勹&GT-00376;日夂
HZK03-A95A	&HZK03-A95A;	彳&GT-00376;⿱口口夂
HZK03-A95B	&HZK03-A95B;	⿰彳&GT-17256;
HZK03-A95C	&HZK03-A95C;	⿰彳章
HZK03-A95D	&HZK03-A95D;	⿰彳&GT-26651;
HZK03-A95E	&HZK03-A95E;	⿰彳淂
HZK03-A95F	&HZK03-A95F;	⿰彳寄
HZK03-A960	&HZK03-A960;	⿰彳參
HZK03-A961	&HZK03-A961;	⿰彳款
HZK03-A962	&HZK03-A962;	⿰彳&GT-16742;
HZK03-A963	&HZK03-A963;	彳&CDP-89B6;田
HZK03-A964	&HZK03-A964;	行巷
HZK03-A976	&HZK03-A976;	⿰彳&CDP-8DA9;
HZK03-A977	&HZK03-A977;	⿰彳&C1-617D;
HZK03-A978	&HZK03-A978;	彳&CDP-8CD4;一夂
HZK03-A979	&HZK03-A979;	彳止日&GT-09425;
HZK03-A9B7	&HZK03-A9B7;	行山&GT-35079;
HZK03-A9D7	&HZK03-A9D7;	⿰彳喬
HZK03-A9D8	&HZK03-A9D8;	⿰彳&GT-25270;
HZK03-A9D9	&HZK03-A9D9;	⿰彳&M-07445;
HZK03-A9DA	&HZK03-A9DA;	⿰彳童
HZK03-A9DB	&HZK03-A9DB;	⿰彳&GT-04942;
HZK03-A9DC	&HZK03-A9DC;	行&B-ADB5;
HZK03-A9F7	&HZK03-A9F7;	行&B-ADBA;
HZK03-A9F8	&HZK03-A9F8;	彳&GT-12503;⺢攵
HZK03-A9FB	&HZK03-A9FB;	行素
HZK03-A9FC	&HZK03-A9FC;	⿰彳&M-39011;
HZK03-A9FD	&HZK03-A9FD;	⿰彳歲
HZK03-A9FE	&HZK03-A9FE;	⿲彳丨菐
