;; -*- coding: utf-8-mcs-er -*-
CB00356	&I-CB00356;	⿰豆斗
CB00357	&I-CB00357;	⿰貝余
CB00358	&I-CB00358;	辵
CB00359	&I-CB00359;	⿰身&MJ007456;
CB00360	&I-CB00360;	⿰身果
CB00361	&I-CB00361;	⿰身冘
CB00362	&I-CB00362;	⿰身豊
CB00363	&I-CB00363;	⿰車乞
CB00364	&I-CB00364;	⿰車取
CB00365	輭	⿰車耎
CB00366	&I-CB00366;	⿱車口
CB00367	&I-CB00367;	⿰酉咸
CB00368	&I-CB00368;	⿰里也
CB00369	&I-CB00369;	⿰糸乚
CB00370	&I-CB00370;	⿰虫乚
CB00371	&I-CB00371;	⿰卓乚
CB00372	&I-CB00372;	⿰亞鳥
CB00373	&I-CB00373;	⿰典見
CB00374	&I-CB00374;	⿱&AJ1-17299;力
CB00375	&I-CB00375;	⿰卒頁
CB00376	&I-CB00376;	⿰卑頁
CB00377	&I-CB00377;	⿰&MJ007897;力
CB00378	&I-CB00378;	⿱和心
CB00379	&I-CB00379;	⿰禾尔
CB00380	&I-CB00380;	⿱&CDP-8DD8;小
CB00381	&I-CB00381;	⿰帛&AJ1-01829;
CB00382	&I-CB00382;	⿰⺖&CDP-8CBE;
CB00383	&I-CB00383;	⿰⺖在
CB00384	&I-CB00384;	⿰⺖利
CB00385	&I-CB00385;	⿰⺖吝
CB00386	&I-CB00386;	⿰⺖吳
CB00387	&I-CB00387;	⿰⺖牢
CB00388	&I-CB00388;	⿰⺖&M-30682;
CB00389	&CB00389;	⿰⺖&GT-40124;
CB00390	&I-CB00390;	⿰⺖&AJ1-13811;
CB00391	&I-CB00391;	⿰⺖疾
CB00392	&I-CB00392;	⿰⺖&AJ1-05065;
CB00393	&I-CB00393;	⿰⺖喜
CB00394	&I-CB00394;	⿰⺖隋
CB00395	&CB00395;	⿰⺖龍
CB00396	&I-CB00396;	⿰⺖劦
CB00397	&I-CB00397;	⿰⺖尃
CB00398	&I-CB00398;	⿰昆鳥
CB00399	&I-CB00399;	⿱果衣
CB00400	&I-CB00400;	⿰氵𦓔
CB00401	&I-CB00401;	⿰氵⿱臼工
CB00402	&I-CB00402;	⿰氵⿱廌去
CB00403	&I-CB00403;	⿰氵&MJ007276;
CB00404	&I-CB00404;	⿰氵&AJ1-13851;
CB00405	&I-CB00405;	⿰氵崖
CB00406	&I-CB00406;	⿰氵敕
CB00407	&I-CB00407;	&I-CB00407;
CB00408	&I-CB00408;	⿰氵&MJ010218;
CB00409	&CB00409;	⿰氵&MJ025131;
CB00410	&I-CB00410;	⿱泥土
CB00411	&I-CB00411;	&I-CB00411;
CB00412	&I-CB00412;	⿱物心
CB00413	&CB00413;	⿱直心
CB00414	聟	⿱知耳
CB00415	&I-CB00415;	⿱⺮別
CB00416	&I-CB00416;	⿱⺮帚
CB00417	&I-CB00417;	⿱⺮耑
CB00418	&I-CB00418;	⿰者見
CB00419	&I-CB00419;	⿰舍官
CB00420	&I-CB00420;	⿰&AJ1-03246;阝
CB00421	䘏	⿰血阝
CB00422	&I-CB00422;	⿰&AJ1-04752;阝
CB00423	&I-CB00423;	⿰金巳
CB00424	&I-CB00424;	⿰金勾
CB00425	&I-CB00425;	⿰金本
CB00426	&I-CB00426;	⿰金矛
CB00427	&I-CB00427;	⿰金足
CB00428	&I-CB00428;	⿰金&M-00703;
CB00429	&I-CB00429;	⿰金&MJ010159;
CB00430	&I-CB00430;	⿰金巢
CB00431	&I-CB00431;	⿰金善
CB00432	&I-CB00432;	⿰金&MJ011077;
CB00433	&I-CB00433;	⿰金咠
CB00434	&I-CB00434;	⿻門众
CB00435	&I-CB00435;	⿻門⿰豆寸
CB00436	&I-CB00436;	⿻門市
CB00437	&I-CB00437;	⿻門卦
CB00438	&I-CB00438;	⿻門&M-00703;
CB00439	&I-CB00439;	⿻門為
CB00440	&I-CB00440;	⿻門視
CB00441	&I-CB00441;	⿻門龠
CB00442	&I-CB00442;	⿰阝㐌
CB00443	&I-CB00443;	⿰阝匧
CB00444	&I-CB00444;	⿰阝粦
CB00445	&I-CB00445;	⿰阝桑
CB00446	&I-CB00446;	⿰阝巢
CB00447	&I-CB00447;	⿰阝登
CB00448	&I-CB00448;	⿰阝&I-J90-665C;
CB00449	&I-CB00449;	⿱雨注
CB00450	&I-CB00450;	⿱雨隻
CB00451	&I-CB00451;	⿱非鳥
CB00452	&I-CB00452;	⿰&g2-AJ1-03070;也
CB00453	&I-CB00453;	⿰南犬
CB00454	&I-CB00454;	⿱南無
CB00455	&I-CB00455;	⿰馬㐌
CB00456	&I-CB00456;	⿹勹亾
CB00457	&I-CB00457;	⿱水丶
CB00458	&I-CB00458;	⿰&AJ1-02585;&AJ1-02455;
CB00459	&I-CB00459;	⿰眉羊
CB00460	&I-CB00460;	⿺兀王
CB00461	&I-CB00461;	⿰面包
CB00462	&I-CB00462;	⿰革更
CB00463	&I-CB00463;	⿰革奇
CB00464	&I-CB00464;	⿰革畢
CB00465	&I-CB00465;	⿰革鳥
CB00466	&I-CB00466;	⿰革華
CB00467	&I-CB00467;	⿰革&C1-6E59;
CB00468	&I-CB00468;	⿰革卬
CB00469	&I-CB00469;	⿰韋&C6-395D;
CB00470	&I-CB00470;	⿰&AJ1-04553;鳥
CB00471	&I-CB00471;	⿺尾寸
CB00472	&I-CB00472;	⿰土&C3-2546;
CB00473	&I-CB00473;	⿸&CDP-8CCC;目
CB00474	&I-CB00474;	⿱&CDP-8BC6;⿶凵田
CB00475	&I-CB00475;	⿹𢦏火
CB00476	&I-CB00476;	⿸疒叜
CB00477	&I-CB00477;	⿸疒⿱一艮
CB00478	&I-CB00478;	⿸疒歮
