;; -*- coding: utf-8-mcs-er -*-
U+35B9	㖹	⿰口盆
U+35BA	㖺	⿰口春
U+35BB	㖻	⿰口柔
U+35BC	㖼	⿰口某
U+35BD	㖽	⿰口頁
U+35BE	㖾	⿱吅屰
U+35BF	㖿	⿰口耶
U+35C0	㗀	⿰口幽
U+35C1	㗁	⿰口咢
U+35C2	㗂	⿰口省
U+35C3	㗃	⿰口昬
U+35C4	㗄	⿰口𬙙
U+35C5	㗅	⿰口胡
U+35C6	㗆	⿰口革
U+35C7	㗇	⿰口叚
U+35C8	㗈	⿰口勇
U+35C9	㗉	⿱㓞各
U+35CA	㗊	⿱吅吅
U+35CB	㗋	⿰口矦
U+35CC	㗌	⿰口室
U+35CD	㗍	⿰口香
U+35CE	㗎	⿰口架
U+35CF	㗏	⿰口歪
U+35D0	㗐	⿰口盇
U+35D1	㗑	⿰口拜
U+35D2	㗒	⿰口哀
U+35D3	㗓	⿰口追
U+35D4	㗔	⿰口虔
U+35D5	㗕	⿰口冓
U+35D6	㗖	⿰口舀
U+35D7	㗗	⿰另卑
U+35D8	㗘	⿰口尃
U+35D9	㗙	⿰口芻
U+35DA	㗚	⿰口栗
U+35DB	㗛	⿰口笑
U+35DC	㗜	⿰口畜
U+35DD	㗝	⿰口恙
U+35DE	㗞	⿰口破
U+35DF	㗟	⿱注叱
U+35E0	㗠	⿱始叱
U+35E1	㗡	⿱芿叱
U+35E2	㗢	⿰口動
U+35E3	㗣	⿰口帶
U+35E4	㗤	⿱戚口
U+35E5	㗥	⿰口郭
U+35E6	㗦	⿰口聊
U+35E7	㗧	⿰口窒
U+35E8	㗨	⿱殹口
U+35E9	㗩	⿰口習
U+35EA	㗪	⿰口紫
U+35EB	㗫	⿰口祭
U+35EC	㗬	⿱尚多
U+35ED	㗭	⿰口悉
U+35EE	㗮	⿰名庚
U+35EF	㗯	⿰者叱
U+35F0	㗰	⿰口從
U+35F1	㗱	⿰口集
U+35F2	㗲	⿰口畫
U+35F3	㗳	⿰口答
U+35F4	㗴	⿰口閒
U+35F5	㗵	⿰口欻
U+35F6	㗶	⿰口發
U+35F7	㗷	⿰口⿳宀𠀎贝
U+35F8	㗸	⿰口䘖
U+35F9	㗹	⿰口𢛧
U+35FA	㗺	⿰口⿱天非
U+35FB	㗻	⿰口過
U+35FC	㗼	⿰口業
U+35FD	㗽	⿱鄉口
U+35FE	㗾	⿰口靴
U+35FF	㗿	⿰口閜
U+3600	㘀	⿰口䊆
U+3601	㘁	⿰口睪
U+3602	㘂	⿰口慈
U+3603	㘃	⿰口惹
U+3604	㘄	⿰口楞
U+3605	㘅	⿰口銜
U+3606	㘆	⿰口臺
U+3607	㘇	⿰口榮
U+3608	㘈	⿰口疑
U+3609	㘉	⿰口節
U+360A	㘊	⿰口霅
U+360B	㘋	⿰口賢
U+360C	㘌	⿰口劇
U+360D	㘍	⿰口𢧵
U+360E	㘎	⿰口阚
U+360F	㘏	⿱道叱
U+3610	㘐	⿰口駮
U+3611	㘑	⿰口隷
U+3612	㘒	⿰種叱
U+3613	㘓	⿰口闌
U+3614	㘔	⿰口賽
U+3615	㘕	⿰口藍
U+3616	㘖	⿰口顏
U+3617	㘗	⿰口瞿
U+3618	㘘	⿱䜌口
U+3619	㘙	⿰口嚴
U+361A	㘚	⿰口闞
U+361B	㘛	⿰口龕
U+361C	㘜	⿱讎口
U+361D	㘝	⿴囗又
U+361E	㘞	⿴囗力
U+361F	㘟	⿴囗廾
U+3620	㘠	⿴囗必
U+3621	㘡	⿴囗甲
U+3622	㘢	⿴囗光
U+3623	㘣	⿴囗肙
U+3624	㘤	⿴囗淵
U+3625	㘥	⿴囗繇
U+3626	㘦	⿰土力
U+3627	㘧	⿰土予
U+3628	㘨	⿰土内
U+3629	㘩	⿰土比
U+362A	㘪	⿰土毛
U+362B	㘫	⿰土井
U+362C	㘬	⿰土勾
U+362D	㘭	⿰土幻
U+362E	㘮	⿰土尺
U+362F	㘯	⿰土⿱𠂉力
U+3630	㘰	⿰土斗
U+3631	㘱	⿰土冉
U+3632	㘲	⿰土尻
U+3633	㘳	⿱北土
U+3634	㘴	㘴
U+3635	㘵	⿰土布
U+3636	㘶	⿱舛土
U+3637	㘷	⿰土艾
U+3638	㘸	⿱死土
U+3639	㘹	⿱此土
U+363A	㘺	⿰土伐
U+363B	㘻	⿰土因
U+363C	㘼	⿰土考
U+363D	㘽	⿹𢦏土
U+363E	㘾	⿰土宇
U+363F	㘿	⿰土圼
U+3640	㙀	⿰土究
U+3641	㙁	⿰土每
U+3642	㙂	⿰土兑
U+3643	㙃	⿰土兵
U+3644	㙄	⿰土坒
U+3645	㙅	⿰土呆
U+3646	㙆	⿰土宏
U+3647	㙇	⿰土豖
U+3648	㙈	⿰土虎
U+3649	㙉	⿰土典
U+364A	㙊	⿰土長
U+364B	㙋	⿰土其
U+364C	㙌	⿰土肃
U+364D	㙍	⿰土叕
U+364E	㙎	⿰土威
U+364F	㙏	⿰土复
U+3650	㙐	⿰土耑
U+3651	㙑	⿱禹土
U+3652	㙒	⿱𤰩土
U+3653	㙓	⿱垚土
U+3654	㙔	⿰土韋
U+3655	㙕	⿰土胃
U+3656	㙖	⿰土禹
U+3657	㙗	⿰土畏
U+3658	㙘	⿰土要
U+3659	㙙	⿱浝土
U+365A	㙚	⿰土⿱𦍌牛
U+365B	㙛	⿰土尃
U+365C	㙜	⿱高土
U+365D	㙝	⿰土脅
U+365E	㙞	⿰土臬
U+365F	㙟	⿰土朗
U+3660	㙠	⿱殹土
U+3661	㙡	⿰土從
U+3662	㙢	⿰土㒼
U+3663	㙣	⿰土張
U+3664	㙤	⿰土虖
U+3665	㙥	⿰土袞
U+3666	㙦	⿱斜土
U+3667	㙧	⿰土⿱&CDP-89B6;田
U+3668	㙨	⿰土幾
U+3669	㙩	⿰土尞
U+366A	㙪	⿰土壹
U+366B	㙫	⿰土集
U+366C	㙬	⿱猌土
U+366D	㙭	⿰土厥
U+366E	㙮	⿰土答
U+366F	㙯	⿱埶云
U+3670	㙰	⿱解土
U+3671	㙱	⿱號土
U+3672	㙲	⿰土雍
U+3673	㙳	⿰土感
U+3674	㙴	⿰土詹
U+3675	㙵	⿰土⿱高土
U+3676	㙶	⿱&CDP-8BAA;堂
U+3677	㙷	⿰土㬎
U+3678	㙸	⿰土僕
U+3679	㙹	⿰土夢
U+367A	㙺	⿰土匱
U+367B	㙻	⿰土廛
U+367C	㙼	⿰土畾
U+367D	㙽	⿰土奭
U+367E	㙾	⿰土學
U+367F	㙿	⿰土𦏁
U+3680	㚀	⿰土戲
U+3681	㚁	⿰堯堯
U+3682	㚂	⿰土囊
U+3683	㚃	⿱⿱士冖⿱凶&GT-39640;
U+3684	㚄	⿱⿱士冖⿱田疋
U+3685	㚅	⿱夂𤯔
U+3686	㚆	⿱𣅀夂
U+3687	㚇	⿱⿱凶&GT-K00059;夂
U+3688	㚈	⿰夕十
U+3689	㚉	⿱乃多
U+368A	㚊	⿰多&g2-MJ006470;
U+368B	㚋	⿰多周
U+368C	㚌	⿰多果
U+368D	㚍	⿰多貴
U+368E	㚎	⿰大凵
U+368F	㚏	⿱大廾
U+3690	㚐	⿱大大
U+3691	㚑	⿰&AJ1-15391;大
U+3692	㚒	㚒
U+3693	㚓	⿱大木
U+3694	㚔	⿱大𢆉
U+3695	㚕	⿱大弗
U+3696	㚖	⿱白大
U+3697	㚗	⿱大且
U+3698	㚘	⿰夫夫
U+3699	㚙	⿱加大
U+369A	㚚	⿱大名
U+369B	㚛	⿱大旨
U+369C	㚜	⿱大或
U+369D	㚝	⿱大佳
U+369E	㚞	⿱大林
U+369F	㚟	⿱㲋大
U+36A0	㚠	⿱大羔
U+36A1	㚡	⿰奇奇
U+36A2	㚢	⿰亻女
U+36A3	㚣	⿱女女
U+36A4	㚤	⿰女弋
U+36A5	㚥	⿰女于
U+36A6	㚦	⿰女丌
U+36A7	㚧	⿰女广
U+36A8	㚨	⿰女卂
U+36A9	㚩	⿰女冄
U+36AA	㚪	⿰女毛
U+36AB	㚫	⿰女及
U+36AC	㚬	⿰女匀
U+36AD	㚭	⿰女尤
U+36AE	㚮	⿰女冗
U+36AF	㚯	⿰女风
U+36B0	㚰	⿰女丕
U+36B1	㚱	⿰女丘
U+36B2	㚲	⿰女占
U+36B3	㚳	⿰女加
U+36B4	㚴	⿰女布
U+36B5	㚵	⿰女冬
U+36B6	㚶	⿰女㠯
U+36B7	㚷	⿰女尒
U+36B8	㚸	⿰女司
U+36B9	㚹	⿰女卯
U+36BA	㚺	⿰女孕
U+36BB	㚻	⿱田女
U+36BC	㚼	⿰女田
U+36BD	㚽	⿱巧女
U+36BE	㚾	⿰女兄
U+36BF	㚿	⿰女包
U+36C0	㛀	⿰女刍
U+36C1	㛁	⿰女平
U+36C2	㛂	⿰女𠂬
U+36C3	㛃	⿱㓞女
U+36C4	㛄	⿰女衣
U+36C5	㛅	⿰女耳
U+36C6	㛆	⿰女朶
U+36C7	㛇	⿰女庄
U+36C8	㛈	⿰女考
U+36C9	㛉	⿰女西
U+36CA	㛊	⿰女朵
U+36CB	㛋	⿰女𠇍
U+36CC	㛌	⿰女牟
U+36CD	㛍	⿰女夾
U+36CE	㛎	⿰女呂
U+36CF	㛏	⿰女求
U+36D0	㛐	⿰女更
U+36D1	㛑	⿱𣦼女
U+36D2	㛒	⿰女豆
U+36D3	㛓	⿰女希
U+36D4	㛔	⿰女夆
U+36D5	㛕	⿰女邑
U+36D6	㛖	⿰女夋
U+36D7	㛗	⿰女坐
U+36D8	㛘	⿰女孛
U+36D9	㛙	⿰女辛
U+36DA	㛚	⿰女甬
U+36DB	㛛	⿰女身
U+36DC	㛜	⿱攸女
U+36DD	㛝	⿰女貝
U+36DE	㛞	⿰女弄
U+36DF	㛟	⿰女奂
U+36E0	㛠	⿰女⿵⻔日
U+36E1	㛡	⿰女完
U+36E2	㛢	⿰女秀
U+36E3	㛣	⿰女员
U+36E4	㛤	⿰女丽
U+36E5	㛥	⿰女沓
U+36E6	㛦	⿰女林
U+36E7	㛧	⿰女岩
U+36E8	㛨	⿰女羌
U+36E9	㛩	⿰女育
U+36EA	㛪	⿰女奄
U+36EB	㛫	⿰女易
U+36EC	㛬	⿰女坴
U+36ED	㛭	⿰女昔
U+36EE	㛮	⿰女叜
U+36EF	㛯	⿰女勉
U+36F0	㛰	⿰女昬
U+36F1	㛱	⿰女畏
U+36F2	㛲	⿰女頁
U+36F3	㛳	⿱帝女
U+36F4	㛴	⿰女𡿺
U+36F5	㛵	⿰女爯
U+36F6	㛶	⿰女炭
U+36F7	㛷	⿱𮂱女
U+36F8	㛸	⿰女壴
U+36F9	㛹	⿰女便
U+36FA	㛺	⿰女音
U+36FB	㛻	⿰女奎
U+36FC	㛼	⿰女臿
U+36FD	㛽	⿰女宩
U+36FE	㛾	⿰女咸
U+36FF	㛿	⿰女带
U+3700	㜀	⿰女相
U+3701	㜁	⿰女查
U+3702	㜂	⿱封女
U+3703	㜃	⿰女信
U+3704	㜄	⿰女風
U+3705	㜅	⿰女畜
U+3706	㜆	⿰女迷
U+3707	㜇	⿰女恚
U+3708	㜈	⿱務女
U+3709	㜉	⿰女邕
U+370A	㜊	⿰女展
U+370B	㜋	⿰女益
U+370C	㜌	⿹𣪊女
U+370D	㜍	⿰女唐
U+370E	㜎	⿰女奚
U+370F	㜏	⿰女員
U+3710	㜐	⿰女豈
U+3711	㜑	⿱浦女
U+3712	㜒	⿰女舁
U+3713	㜓	⿰女荅
U+3714	㜔	⿰女竞
U+3715	㜕	⿰女連
U+3716	㜖	⿰女曹
U+3717	㜗	⿰女參
U+3718	㜘	⿰女虘
U+3719	㜙	⿰女鹿
U+371A	㜚	⿰女宿
U+371B	㜛	⿰女軟
U+371C	㜜	⿰女敖
U+371D	㜝	⿰女酓
U+371E	㜞	⿱斬女
U+371F	㜟	⿰女&AJ1-01526;
U+3720	㜠	⿰女崔
U+3721	㜡	⿰女從
U+3722	㜢	⿰女婁
U+3723	㜣	⿰女然
U+3724	㜤	⿰女覃
U+3725	㜥	⿰女買
U+3726	㜦	⿰女尋
U+3727	㜧	⿰女厥
U+3728	㜨	⿰女犀
U+3729	㜩	⿰女奧
U+372A	㜪	⿱新女
U+372B	㜫	⿰女微
U+372C	㜬	⿰女詹
U+372D	㜭	⿰女當
U+372E	㜮	⿰女監
U+372F	㜯	⿰女熙
U+3730	㜰	⿰女樂
U+3731	㜱	⿰女質
U+3732	㜲	⿰女嬴
