;; -*- coding: utf-8-mcs-er -*-
U+301DE	𰇞	⿱口刘
U+301DF	𰇟	⿱丶⿵冂⿱⺌口
U+301E0	𰇠	⿱加仑
U+301E1	𰇡	⿰口纥
U+301E2	𰇢	⿰口⿱又木
U+301E3	𰇣	⿰口戏
U+301E4	𰇤	⿱石⿰口匕
U+301E5	𰇥	⿰口迈
U+301E6	𰇦	⿱吐屯
U+301E7	𰇧	⿰口块
U+301E8	𰇨	⿱只⿰口匕
U+301E9	𰇩	⿱貝口
U+301EA	𰇪	⿱吅中
U+301EB	𰇫	⿱吅巴
U+301EC	𰇬	⿰口卵
U+301ED	𰇭	⿳宀⿺女丶口
U+301EE	𰇮	⿰及合
U+301EF	𰇯	⿱那口
U+301F0	𰇰	⿰口𰍱
U+301F1	𰇱	⿰号后
U+301F2	𰇲	⿰口贪
U+301F3	𰇳	⿰口兔
U+301F4	𰇴	⿰合立
U+301F5	𰇵	⿰口所
U+301F6	𰇶	⿱口㚔
U+301F7	𰇷	⿰口放
U+301F8	𰇸	⿰口盲
U+301F9	𰇹	⿱口法
U+301FA	𰇺	⿱庚口
U+301FB	𰇻	⿰口承
U+301FC	𰇼	⿰口参
U+301FD	𰇽	⿰口虱
U+301FE	𰇾	⿱司同
U+301FF	𰇿	⿱豆⿰口匕
U+30200	𰈀	⿱走⿰口匕
U+30201	𰈁	⿰口挑
U+30202	𰈂	⿰口致
U+30203	𰈃	⿰口指
U+30204	𰈄	⿰口拾
U+30205	𰈅	⿱囬⿰口匕
U+30206	𰈆	⿰口览
U+30207	𰈇	⿰口尝
U+30208	𰈈	⿰口𧆞
U+30209	𰈉	⿰口背
U+3020A	𰈊	⿰口点
U+3020B	𰈋	⿰口独
U+3020C	𰈌	⿱沙⿰口匕
U+3020D	𰈍	⿰口亲
U+3020E	𰈎	⿰口𡧯
U+3020F	𰈏	⿰口盈
U+30210	𰈐	⿰口⿱巛㐫
U+30211	𰈑	⿱其⿰口匕
U+30212	𰈒	⿰口恧
U+30213	𰈓	⿰口监
U+30214	𰈔	⿰口圂
U+30215	𰈕	⿱所⿰口匕
U+30216	𰈖	⿱非⿰口匕
U+30217	𰈗	⿱知⿰口匕
U+30218	𰈘	⿰口徐
U+30219	𰈙	⿰口航
U+3021A	𰈚	⿰口宾
U+3021B	𰈛	⿺良后
U+3021C	𰈜	⿱初向
U+3021D	𰈝	⿰口孭
U+3021E	𰈞	⿰叫争
U+3021F	𰈟	⿰吞吞
U+30220	𰈠	⿱恠⿰口匕
U+30221	𰈡	⿰口敝
U+30222	𰈢	⿰口笪
U+30223	𰈣	⿰口脩
U+30224	𰈤	⿰口笠
U+30225	𰈥	⿰口脱
U+30226	𰈦	⿰口盒
U+30227	𰈧	⿱船口
U+30228	𰈨	⿰口逢
U+30229	𰈩	⿰吞咒
U+3022A	𰈪	⿰口惑
U+3022B	𰈫	⿰⿳一巛⿱口土古
U+3022C	𰈬	⿰口㖾
U+3022D	𰈭	⿰口𤊙
U+3022E	𰈮	⿰口缂
U+3022F	𰈯	⿰口献
U+30230	𰈰	⿰口暖
U+30231	𰈱	⿰口㰱
U+30232	𰈲	⿰口鉄
U+30233	𰈳	⿱⿰⿱方古冋
U+30234	𰈴	⿱麻⿰口匕
U+30235	𰈵	⿱冨⿰口匕
U+30236	𰈶	⿰口缚
U+30237	𰈷	⿱都⿰口匕
U+30238	𰈸	⿰口聚
U+30239	𰈹	⿰口辢
U+3023A	𰈺	⿱皷口
U+3023B	𰈻	⿰單包
U+3023C	𰈼	⿰口領
U+3023D	𰈽	⿰吝桀
U+3023E	𰈾	⿰口𩾵
U+3023F	𰈿	⿰口⿱⿰歺又卑
U+30240	𰉀	⿰口價
U+30241	𰉁	⿰口颜
U+30242	𰉂	⿰口敵
U+30243	𰉃	⿲口氵蒪
U+30244	𰉄	⿰口赞
U+30245	𰉅	⿰口鋼
U+30246	𰉆	⿰口擰
U+30247	𰉇	⿰喜肯
U+30248	𰉈	⿰魯古
U+30249	𰉉	⿰口鮮
U+3024A	𰉊	⿰口罈
U+3024B	𰉋	⿰口麌
U+3024C	𰉌	⿰口⿱龍下
U+3024D	𰉍	⿴囗今
U+3024E	𰉎	⿴囗爿
U+3024F	𰉏	⿴囗占
U+30250	𰉐	⿱四三
U+30251	𰉑	⿴囗㚔
U+30252	𰉒	⿱夾回
U+30253	𰉓	⿴囗⿱口㚔
U+30254	𰉔	⿴囗項
U+30255	𰉕	⿱土𠃍
U+30256	𰉖	⿰土匚
U+30257	𰉗	⿻土丷
U+30258	𰉘	⿰土韦
U+30259	𰉙	⿰土冈
U+3025A	𰉚	⿰土见
U+3025B	𰉛	⿱夭土
U+3025C	𰉜	⿱土今
U+3025D	𰉝	⿱土毛
U+3025E	𰉞	⿰土引
U+3025F	𰉟	⿰土北
U+30260	𰉠	⿰土叐
U+30261	𰉡	⿰土冬
U+30262	𰉢	⿱立土
U+30263	𰉣	⿰土𠬤
U+30264	𰉤	⿱皮土
U+30265	𰉥	⿰土夹
U+30266	𰉦	⿰土有
U+30267	𰉧	⿸厌土
U+30268	𰉨	⿰土𡴀
U+30269	𰉩	⿰土乔
U+3026A	𰉪	⿰土华
U+3026B	𰉫	⿰土仰
U+3026C	𰉬	⿰土夙
